AssetID;PriceTime;AssetPrice;Currency
US1912161007;2024-02-11 16:50:42.000;55.38;EUR
US5949181045;2024-02-11 16:50:42.000;391.38;EUR
CH0038863350;2024-02-11 16:50:42.000;101.47;EUR
DK0062498333;2024-02-11 16:50:42.000;112.43;EUR
US7427181091;2024-02-11 16:50:42.000;146.23;EUR
DE0007165607;2024-02-11 16:50:42.000;274.5;EUR
GB00B03MLX29;2024-02-11 16:50:42.000;29.558;EUR
JP3358000002;2024-02-11 16:50:42.000;132.75;EUR
LU1737653631;2024-02-12 08:01:13.000;46.35;EUR
Gold;2024-02-12 08:01:13.000;1875.36;EUR
BTC;2024-02-12 08:01:13.000;44650.63;EUR
USD;2024-02-12 08:01:13.000;1.0794;EUR
FR0010315770;2024-02-12 08:01:13.000;301.96;EUR
IE00BKM4GZ66;2024-02-12 08:01:13.000;28.971;EUR
DE0008474503;2024-02-12 08:01:13.000;121.88;EUR
CA0679011084;2024-02-12 08:01:13.000;13.6;EUR
US0846707026;2024-02-12 08:01:13.000;369.4;EUR
US1912161007;2024-02-12 08:01:13.000;55.19;EUR
US5949181045;2024-02-12 08:01:13.000;389.6;EUR
CH0038863350;2024-02-12 08:01:13.000;101.53;EUR
DK0062498333;2024-02-12 08:01:13.000;113.02;EUR
US7427181091;2024-02-12 08:01:13.000;145.8;EUR
DE0007165607;2024-02-12 08:01:13.000;272.0;EUR
GB00B03MLX29;2024-02-12 08:01:13.000;29.575;EUR
JP3358000002;2024-02-12 08:01:13.000;132.4;EUR
LU1737653631;2024-02-20 19:18:30.000;45.891;EUR
Gold;2024-02-20 19:18:30.000;1876.07;EUR
BTC;2024-02-20 19:18:30.000;47436.71;EUR
USD;2024-02-20 19:18:30.000;1.0809;EUR
FR0010315770;2024-02-20 19:18:30.000;299.64;EUR
IE00BKM4GZ66;2024-02-20 19:18:30.000;29.338;EUR
DE0008474503;2024-02-20 19:18:30.000;122.56;EUR
CA0679011084;2024-02-20 19:18:30.000;13.568;EUR
US0846707026;2024-02-20 19:18:30.000;378.13;EUR
US1912161007;2024-02-20 19:18:30.000;56.079;EUR
